First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2
ALEXANDRE	ALEXANDRE		M		 rue Haute, 268, Bruxelles (Belgique).	 rue Haute, 268, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	Tête d'étude.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ALEXANDRE	ALEXANDRE		M		 rue Haute, 268, Bruxelles (Belgique).	 rue Haute, 268, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	La Forge.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ALEXANDRE	ALEXANDRE		M		 rue Haute, 268, Bruxelles (Belgique).	 rue Haute, 268, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	Bivouac aux Avant-postes.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ALEXANDRE	ALEXANDRE		M		 rue Haute, 268, Bruxelles (Belgique).	 rue Haute, 268, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	268	Rue Haute - Hoogstraat	50.837829,4.349341	50.837829	4.349341	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	Dans le Brouillard et la Fumée.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
William J. ANCKORN	ANCKORN	William J.	M		  Arbroath. N. B. (Angleterre).	  Arbroath. N. B. (Angleterre).	Scotland	 	Arbroath	56.561386111111,-2.5857055555556	56.561386111111	-2.5857055555556	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	Sous le charme de la Musique.	Mp.		Papier mat	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
William J. ANCKORN	ANCKORN	William J.	M		  Arbroath. N. B. (Angleterre).	  Arbroath. N. B. (Angleterre).	Scotland	 	Arbroath	56.561386111111,-2.5857055555556	56.561386111111	-2.5857055555556	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	Le Sommeil de Grand'mère.	Mp.		Papier mat	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Camera Club de Londres	  C. C. L., Camden Park-Tunbridge Wells (Angleterre).	   Camden Park-Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	Une Cour à Venise.	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Camera Club de Londres	  C. C. L., Camden Park-Tunbridge Wells (Angleterre).	   Camden Park-Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	La Grande Mosquée de Kérouan.	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Ernest R. ASHTON 	ASHTON 	Ernest R.	M	Camera Club de Londres	  C. C. L., Camden Park-Tunbridge Wells (Angleterre).	   Camden Park-Tunbridge Wells (Angleterre).	England	 	Royal Tunbridge Wells	51.132,0.263	51.132	0.263	 	Camden Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	Un Tunisien. 	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
BAILLOT D'ESTIVAUX DE VILLEMOUNE	BAILLOT D'ESTIVAUX DE VILLEMOUNE				 2, rue des Pavillons, Châteauroux (Indre).	 2, rue des Pavillons, Châteauroux (Indre).	France	 	Châteauroux	46.809722222222,1.6902777777778	46.809722222222	1.6902777777778	2	 rue des Pavillons				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	Forêt Vierge Limousine.	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
