File	Exhibition_Date	First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the address	Street coordinate location	Street lat	Street long	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis
PCP_1894.tsv	1894	Comte d’ ASSCHE 	ASSCHE 	Comte d’	male		  château de Noailhac par Bordezon (Tarn).	  château de Noailhac par Bordezon (Tarn).	France	Noailhac	43.573888888889,2.3522222222222	43.573888888889	2.3522222222222	 	château de Noailhac				14	 Étude de portrait 			
PCP_1894.tsv	1894	Comte d’ ASSCHE 	ASSCHE 	Comte d’	male		  château de Noailhac par Bordezon (Tarn).	  château de Noailhac par Bordezon (Tarn).	France	Noailhac	43.573888888889,2.3522222222222	43.573888888889	2.3522222222222	 	château de Noailhac				15	 La Prière 			
PCP_1894.tsv	1894	Comte d’ ASSCHE 	ASSCHE 	Comte d’	male		  château de Noailhac par Bordezon (Tarn).	  château de Noailhac par Bordezon (Tarn).	France	Noailhac	43.573888888889,2.3522222222222	43.573888888889	2.3522222222222	 	château de Noailhac				16	 Le Labour 			
PCP_1894.tsv	1894	Comte d’ ASSCHE 	ASSCHE 	Comte d’	male		  château de Noailhac par Bordezon (Tarn).	  château de Noailhac par Bordezon (Tarn).	France	Noailhac	43.573888888889,2.3522222222222	43.573888888889	2.3522222222222	 	château de Noailhac				17	 La Récolte des joncs 			
PCP_1894.tsv	1894	Comte d’ ASSCHE 	ASSCHE 	Comte d’	male		  château de Noailhac par Bordezon (Tarn).	  château de Noailhac par Bordezon (Tarn).	France	Noailhac	43.573888888889,2.3522222222222	43.573888888889	2.3522222222222	 	château de Noailhac				18	 La Pluie 			
PCP_1894.tsv	1894	BAILLOT D'ESTIVAUX DE VILLEMOUNE	BAILLOT D'ESTIVAUX DE VILLEMOUNE		unknown		  2, rue des Pavillons, Châteauroux (Indre).	  2, rue des Pavillons, Châteauroux (Indre).	France	Châteauroux	46.809722222222,1.6902777777778	46.809722222222	1.6902777777778	2	 rue des Pavillons				21	 Le Donjon de Prunget 			
PCP_1894.tsv	1894	BAILLOT D'ESTIVAUX DE VILLEMOUNE	BAILLOT D'ESTIVAUX DE VILLEMOUNE		unknown		  2, rue des Pavillons, Châteauroux (Indre).	  2, rue des Pavillons, Châteauroux (Indre).	France	Châteauroux	46.809722222222,1.6902777777778	46.809722222222	1.6902777777778	2	 rue des Pavillons				22	 Rêverie dans les pins 			
PCP_1894.tsv	1894	BAILLOT D'ESTIVAUX DE VILLEMOUNE	BAILLOT D'ESTIVAUX DE VILLEMOUNE		unknown		  2, rue des Pavillons, Châteauroux (Indre).	  2, rue des Pavillons, Châteauroux (Indre).	France	Châteauroux	46.809722222222,1.6902777777778	46.809722222222	1.6902777777778	2	 rue des Pavillons				23	 Toutes voiles dehors !			
PCP_1894.tsv	1894	Georges BALAGNY 	BALAGNY 	Georges	male		 11, rue Salneuve, Paris.	 11, rue Salneuve, Paris.	France	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	11	rue Salneuve	48.885555555556,2.3144444444444	48.885555555556	2.3144444444444	25	 Coucher de soleil  barque à contre-jour 			
PCP_1894.tsv	1894	Georges BALAGNY 	BALAGNY 	Georges	male		 11, rue Salneuve, Paris.	 11, rue Salneuve, Paris.	France	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	11	rue Salneuve	48.885555555556,2.3144444444444	48.885555555556	2.3144444444444	26	 Le Charlemagne  Forêt de Fontainebleau 			
PCP_1894.tsv	1894	L. BARJOLLE 	BARJOLLE 	L.	unknown		  Sillery, par Beaumont (Marne).	  Sillery, par Beaumont (Marne).	France	Sillery	49.198055555556,4.1322222222222	49.198055555556	4.1322222222222	 					27	 Ça devient difficile    			
PCP_1894.tsv	1894	BEAU	BEAU		unknown		  11, rue La Boëtie, Paris.	  11, rue La Boëtie, Paris.	France	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	11	rue La Boétie	48.8732,2.3123	48.8732	2.3123	31	 Le Moulin des Corbeaux  à Gravelle 			
PCP_1894.tsv	1894	BEAU	BEAU		unknown		  11, rue La Boëtie, Paris.	  11, rue La Boëtie, Paris.	France	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	11	rue La Boétie	48.8732,2.3123	48.8732	2.3123	32	 Zvina  mendiante près d Alger 			
PCP_1894.tsv	1894	BEAU	BEAU		unknown		  11, rue La Boëtie, Paris.	  11, rue La Boëtie, Paris.	France	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	11	rue La Boétie	48.8732,2.3123	48.8732	2.3123	33	 Sous bois à Rambouillet 			
PCP_1894.tsv	1894	Auguste BERT 	BERT 	Auguste	male		  18, rue Raymond IV, Toulouse (Haute-Garonne).	  18, rue Raymond IV, Toulouse (Haute-Garonne).	France	Toulouse	43.604444444444,1.4438888888889	43.604444444444	1.4438888888889	18	rue Raymond IV	43.61085,1.44894	43.61085	1.44894	46	 Souvenir de Tanger  Étude 			
PCP_1894.tsv	1894	Auguste BERT 	BERT 	Auguste	male		  18, rue Raymond IV, Toulouse (Haute-Garonne).	  18, rue Raymond IV, Toulouse (Haute-Garonne).	France	Toulouse	43.604444444444,1.4438888888889	43.604444444444	1.4438888888889	18	rue Raymond IV	43.61085,1.44894	43.61085	1.44894	47	 Souvenir de Tanger  Étude 			
PCP_1894.tsv	1894	Georges BERTEAUX 	BERTEAUX 	Georges	male		  75, avenue du Roule, Neuilly-sur-Seine.	  75, avenue du Roule, Neuilly-sur-Seine.	France	Neuilly-sur-Seine	48.887222222222,2.2675	48.887222222222	2.2675	75	avenue du Roule	48.88283,2.27612	48.88283	2.27612	48	 Pelotons  demi-à-gauche ! Halte !			
